id_these,id_hackaton,Places
ENCPOS_1903_02,h0303,la France
ENCPOS_1903_03,h0391,Soissons
ENCPOS_1903_04,h0440,Belleville
ENCPOS_1903_05,h0658,Sèvre Niortaise
ENCPOS_1903_05,h0658,Lay du Xe
ENCPOS_1903_07,h1077,Anjou
ENCPOS_1903_07,h1077,Malcontents
ENCPOS_1903_07,h1077,Pays-Bas
ENCPOS_1903_09,h1334,comté Venaissin
ENCPOS_1903_11,h1598,Rhône
ENCPOS_1903_11,h1598,Tournon
ENCPOS_1903_11,h1598,Moyen
ENCPOS_1903_13,h2111,d'Espagne
ENCPOS_1903_13,h2111,roi d'Aragon
ENCPOS_1903_13,h2111,Provencce
ENCPOS_1903_14,h2376,roi d'Aragon
ENCPOS_1904_01,h0026,Laon
ENCPOS_1904_04,h0751,Collège de Boissy
ENCPOS_1904_06,h0845,Rodez
ENCPOS_1904_06,h0845,XIIe
ENCPOS_1904_09,h1066,département du Calvados
ENCPOS_1904_10,h1489,comté d'Anjou
ENCPOS_1904_10,h1489,Foulque
ENCPOS_1904_11,h1520,Die
ENCPOS_1904_12,h1906,Labourd
ENCPOS_1904_12,h1906,XVe
ENCPOS_1904_12,h1906,XVIIIe
ENCPOS_1904_14,h2201,XVe siècle
ENCPOS_1904_16,h2234,Saint-Siège
ENCPOS_1904_16,h2234,royaume de France
ENCPOS_1904_17,h2375,Burie
ENCPOS_1904_17,h2375,Guyenne
ENCPOS_1904_18,h2420,Castres
ENCPOS_1905_01,h0094,Bigorre
ENCPOS_1905_01,h0094,Debita
ENCPOS_1905_01,h0094,Bigorrensi
ENCPOS_1905_02,h0157,Orléans
ENCPOS_1905_03,h0404,Lisieux
ENCPOS_1905_04,h0405,Tours
ENCPOS_1905_04,h0405,VIIIe-XIe
ENCPOS_1905_05,h0471,Collège de Fortet
ENCPOS_1905_10,h0845,Saint-Germain-l'Auxerrois
ENCPOS_1905_10,h0845,Paris
ENCPOS_1905_11,h1606,royaume de Bourgogne
ENCPOS_1905_11,h1606,la France
ENCPOS_1905_12,h1962,abbaye de Cluny
ENCPOS_1905_12,h1962,Saint-siège
ENCPOS_1905_13,h2002,évêque de Fréjus
ENCPOS_1905_15,h2551,Montmartre
ENCPOS_1905_16,h2561,comté de Bourgogne
ENCPOS_1905_17,h2696,Notre-dame-aux-Nonnains
ENCPOS_1905_17,h2696,troyes
ENCPOS_1906_03,h0248,Saint-Etienne de Troyes
ENCPOS_1906_04,h0482,Collège de Laon
