,Places,latitude,longitude
545,Pise,44.1304904,4.6641506
546,Piémont,45.060735,7.923549
548,Poissy,48.927439,2.0428293
549,Poitiers,46.5802596,0.340196
550,Poitou,44.9890967,-0.1140765
551,Polignac,45.285,-0.3080556
553,Pompadour,45.3979167,1.3815096
555,Pondichéry,11.9340568,79.8306447
556,Pont-Au-Change,48.85684875,2.346889697124022
557,Pont-De-Sorgues,44.0066403,4.8725016
558,Pont-De-Veyle,46.2635,4.88836
559,Pont-À-Mousson,48.9025946,6.0547691
560,Ponthieu,45.8693961,5.609007
561,Pontoise,49.0508845,2.1008067
562,Pontrieux,48.6972419,-3.1629787
565,Port-Louis,-20.1637281,57.5045331
566,Portugal,40.0332629,-7.8896263
570,Provence,46.8914636,6.7270271
571,Provins,48.5628591,3.2805718708570897
576,Puy,44.6619444,0.0738889
577,Puylaurens,43.5726147,2.0134036
578,Périgord,45.5449404,1.0413194
579,Périgueux,45.1909365,0.7184407
580,Quercy,48.4148782,-2.4038076
581,Quimper,47.9960325,-4.1024782
582,Rabastens,43.8212439,1.7240388
585,Reims,49.2577886,4.031926
587,Rennes,48.1113387,-1.6800198
588,Revermont,46.363982050000004,5.491702464029628
589,Rhin,50.5002029,7.3149557
590,Rhuys,47.207052149999996,-1.5555555227946547
591,Rhône,45.8802348,4.564533629559522
592,Rhône ,45.8802348,4.564533629559522
593,Ribeaupierre,47.743660500000004,7.331670345133487
594,Rieux,49.93468,1.58039
595,Riez,43.8176907,6.0930048
596,Riom,45.893068,3.1136667
597,Roannais,46.1056357,3.950479987135558
598,Roche,45.5784807,5.155527090194026
600,Rodez,44.3513062,2.5727883
601,Rognes,43.6638292,5.3469001
604,Rome,41.8933203,12.4829321
606,Roucy,49.3703155,3.8127575
607,Rouen,49.4404591,1.0939658
608,Rouen ,49.4404591,1.0939658
610,Rouergue,44.5743729,-0.0307225
611,Roussillon,45.381852949999995,4.823268453888032
612,Rugles,48.8212529,0.7095443
615,Russie,64.6863136,97.7453061
616,République,48.8680102,2.3651079
617,Sadroc,45.2827954,1.549259
619,Saint-Affrique,43.9580035,2.8866641
620,Saint-Alyre,45.7861658,3.0817647
621,Saint-Amant-De-Boixe,45.7986577,0.1301224
622,Saint-André-Des-Arts,48.8533737,2.3421249
623,Saint-Antoine,46.7769229,6.3375836
624,Saint-Antoine-Des-Champs,46.3717621,-64.7640959
625,Saint-Augustin,48.78647995,3.0237525423341474
626,Saint-Benoît-Sur-Loire,47.8101798,2.3069095
627,Saint-Brieuc,48.5141134,-2.7603283
628,Saint-Christophe,44.93044385,6.231403610161355
629,Saint-Claude,46.3877989,5.8641501
630,Saint-Cloud,48.8437412,2.219344
631,Saint-Corneille,48.0663752,0.3437644
632,Saint-Denis,48.935773,2.3580232
633,Saint-Domingue,18.4801972,-69.942111
634,Saint-Dominique,45.565506,-72.854462
635,Saint-Eloi,45.9313564,5.1527949
636,Saint-Esprit,45.898371,-73.666077
638,Saint-Etienne,45.4401467,4.3873058
639,Saint-Evroult,48.8083074,0.3150176
640,Saint-Flour,45.7084425,3.5026164
641,Saint-Félix-De-Sorgues,43.8839271,2.9839899
642,Saint-Germain-Des-Prés,45.3419501,0.9912891
643,Saint-Germain-En-Laye,48.93560465,2.0917742569617808
644,Saint-Germain-L'Auxerrois,48.860211199999995,2.3362988847682233
645,Saint-Gervais,45.18801855,5.500826735263212
646,Saint-Gilles-Du-Gard,43.677007,4.4318488
647,Saint-Jacques,43.9688227,6.3761968
648,Saint-Jean-D'Angély,45.9445958,-0.5195756
649,Saint-Jean-De-Jérusalem,18.6712325,-72.2505436
650,Saint-Julien,47.4019947,5.1364639
651,Saint-Lazare,48.8757066,2.3278406
652,Saint-Lazare-De-Jérusalem,47.924869,2.011987813971249
653,Saint-Lo,49.1157004,-1.0906637
654,Saint-Malo,48.649518,-2.0260409
655,Saint-Marc,44.9014478,3.1911751
656,Saint-Marcel,49.0984117,1.454725
657,Saint-Martial,44.6378919,-0.1758665
658,Saint-Martin-De-Tours,45.7027428,2.8288156
659,Saint-Martin-Des-Champs,48.6701144,-1.3303759
660,Saint-Merry,43.2002134,2.5646725
661,Saint-Nicolas-Des-Champs,49.18384505,-0.37501240160127053
662,Saint-Nicolas-Du-Port,48.7255088,4.5956893
663,Saint-Omer,50.7515771,2.2534183
664,Saint-Parize-Le-Châtel,46.8540409,3.1818103
665,Saint-Paul-De-Vence,43.697972,7.1216304
666,Saint-Pierre-Et-Miquelon,46.783246899999995,-56.195158907484085
667,Saint-Pierre-Le-Moutier,46.7905584,3.1180359
668,Saint-Pourçain,46.3074423,3.2899107
669,Saint-Pétersbourg,59.917857350000006,30.380619357025516
670,Saint-Quentin,49.8465253,3.2876843
671,Saint-Rion,43.93338835,-0.9441286797651827
672,Saint-Sever,43.757456,-0.574187
676,Saint-Tropez,43.2727191,6.6405225
677,Saint-Vaast,50.4522661,4.1604745
678,Saint-Valery-Sur-Somme,50.1887006,1.6279147
679,Saint-Étienne-Du-Mont,45.4534242,4.539405
680,Sainte-Foy-La-Grande,44.8416496,0.214969
681,Saintonge,18.7417645,-72.1603932
682,Salins,48.433959349999995,3.0253024799850183
683,Salm,50.152507,6.6903569
685,Salon-De-Provence,43.6405237,5.0980225
686,Sancerre,47.3307251,2.8390333
687,Sannois,48.9717267,2.2568296
688,Sanseverino,-23.5505066,-46.69098364894366
689,Sarlat,44.8879431,1.2161321
691,Savoie,45.494895150000005,6.384660381375652
694,Sedan,49.7033759,4.9433409
695,Seine,48.7308806,2.444754
696,Seine-Et-Marne,48.61902069999999,3.0418157506708345
697,Senlis,50.5331612,2.1523287
698,Senlis ,50.5331612,2.1523287
699,Sens,48.1978559,3.282606
701,Serk,54.4403808,11.194
702,Servais,49.6211111,3.3444444
703,Sichuan,30.5000001,102.4999999
704,Sinaï,29.52316965,33.805472576508
705,Sion,43.73903,0.00822
706,Soissonnais,49.6460931,2.583469788166931
707,Soissons,49.3837621,3.327613
708,Soleil,46.4052928,1.4065343
709,Sologne,46.6413656,2.715855
710,Souabe,48.15313125,10.47129100603846
712,Stanislas,52.3016823,4.6423439
713,Stasbourg,48.584614,7.7507127
714,Strasbourg,48.584614,7.7507127
715,Strassburg,48.584614,7.7507127
717,Suffolk,52.241001350000005,1.0466830312565236
718,Suisse,46.7985624,8.2319736
719,Suisses,46.7985624,8.2319736
720,Sully,49.5592119,1.7836531
721,Sully-Sur-Loire,47.7654098,2.3738968
723,Suède,59.6749712,14.5208584
724,Sèvres,48.8247407,2.2127083
725,Sélestat,48.2594396,7.454217
726,Sénégal,14.4750607,-14.4529612
727,Séville,37.3886303,-5.9953403
728,Tabard,51.4956878,-0.25471169315339026
729,Talmond,48.4442452,-1.1059222
730,Tarascon,43.8053654,4.6585115
